run	test_end	ids_lambda	ids_gamma	ids_ema_decay	ids_proxy_lr	ids_robust_weight	ids_batch_size	ids_warmup	ids_grad_clip	months	mean_f1	mean_delta_f1	mean_fnr	min_f1	worst_delta_f1	wins
lambda_5e4	2013-07	0.0005	1.0	0.6	1.0	1.0	192	5	1.0	7	0.9320999999999999	0.002528571428571404	0.09705714285714286	0.9154	-0.012700000000000045	3
lambda_3e4	2013-07	0.0003	1.0	0.6	1.0	1.0	192	5	1.0	7	0.9319571428571428	0.002385714285714261	0.09707142857142859	0.9136	-0.005900000000000016	4
proxy_lr_0p1	2013-07	0.001	1.0	0.6	0.1	1.0	192	5	1.0	7	0.9301142857142858	0.0005428571428571148	0.10137142857142857	0.9133	-0.024900000000000033	3
batch_384	2013-07	0.001	1.0	0.6	1.0	1.0	384	5	1.0	7	0.9300714285714287	0.0004999999999999608	0.09994285714285714	0.9136	-0.009800000000000031	3
ema_0p0	2013-07	0.001	1.0	0.0	1.0	1.0	192	5	1.0	7	0.9295571428571429	-1.4285714285744433e-05	0.09955714285714286	0.9149	-0.009300000000000086	3
proxy_lr_0p5	2013-07	0.001	1.0	0.6	0.5	1.0	192	5	1.0	7	0.9293571428571428	-0.0002142857142857224	0.09811428571428572	0.9118	-0.019199999999999995	3
lambda_1e4	2013-07	0.0001	1.0	0.6	1.0	1.0	192	5	1.0	7	0.9287142857142857	-0.0008571428571428896	0.10062857142857141	0.9136	-0.01750000000000007	2
gamma_1e4	2013-07	0.001	10000.0	0.6	1.0	1.0	192	5	1.0	7	0.9264714285714285	-0.0031000000000000394	0.10454285714285715	0.9133	-0.026900000000000035	2
batch_96	2013-07	0.001	1.0	0.6	1.0	1.0	96	5	1.0	7	0.9262428571428571	-0.0033285714285714585	0.10578571428571429	0.892	-0.04820000000000002	3
ema_0p3	2013-07	0.001	1.0	0.3	1.0	1.0	192	5	1.0	7	0.926	-0.003571428571428575	0.09647142857142857	0.8921	-0.016700000000000048	1
warmup_20	2013-07	0.001	1.0	0.6	1.0	1.0	192	20	1.0	7	0.9258714285714286	-0.0037000000000000366	0.10628571428571429	0.9032	-0.022400000000000087	1
gamma_1e3	2013-07	0.001	1000.0	0.6	1.0	1.0	192	5	1.0	7	0.9253142857142856	-0.00425714285714288	0.10629999999999999	0.8766	-0.06359999999999999	3
lambda_2e4	2013-07	0.0002	1.0	0.6	1.0	1.0	192	5	1.0	7	0.9252999999999999	-0.004271428571428625	0.10540000000000001	0.8845	-0.05570000000000008	3
lambda_3e3	2013-07	0.003	1.0	0.6	1.0	1.0	192	5	1.0	7	0.9234714285714286	-0.006100000000000026	0.1084142857142857	0.8892	-0.051000000000000045	3
proxy_lr_2p0	2013-07	0.001	1.0	0.6	2.0	1.0	192	5	1.0	7	0.9223428571428572	-0.0072285714285714574	0.1143	0.8766	-0.032200000000000006	1
gamma_1e5	2013-07	0.001	100000.0	0.6	1.0	1.0	192	5	1.0	7	0.9218857142857143	-0.007685714285714296	0.11522857142857143	0.8777	-0.0625	3
warmup_0	2013-07	0.001	1.0	0.6	1.0	1.0	192	0	1.0	7	0.9173285714285715	-0.012242857142857175	0.12400000000000001	0.8817	-0.03990000000000005	1
ema_0p9	2013-07	0.001	1.0	0.9	1.0	1.0	192	5	1.0	7	0.9164571428571426	-0.013114285714285745	0.12441428571428571	0.8732	-0.06700000000000006	2
lambda_7e4	2013-07	0.0007	1.0	0.6	1.0	1.0	192	5	1.0	7	0.9161714285714285	-0.013400000000000014	0.12345714285714286	0.8642	-0.07600000000000007	2
